src	var	url	long_name	r_package	r_function	type	in_use
nwis	disch|doobs|par|stage|wtr	http://waterdata.usgs.gov/nwis	National Water Information System	data_retrieval	readNWISuv	data	TRUE
nldas	baro	http://ldas.gsfc.nasa.gov/nldas/	Land Data Assimilation Systems	geoknife	geoknife	data	TRUE
google	depth	http://www.google.com	Manual Google searches	NA	NA	data	FALSE
gagesii	depth	http://water.usgs.gov/GIS/metadata/usgswrd/XML/gagesII_Sept2011.xml	GAGES-II: Geospatial Attributes of Gages for Evaluating Streamflow	NA	NA	data	FALSE
nhdplus	NA	http://water.usgs.gov/GIS/metadata/usgswrd/XML/streamgagebasins.xml	USGS Streamgage NHDPlus Version 1 Basins 2011	NA	NA	data	FALSE
calcLon	suntime	NA	calculate suntime from UTC and site longitude	streamMetabolizer	convert_GMT_to_solartime	calc	TRUE
calcGG	dosat	NA	calculate DO at saturation using Garcia-Gordon equations	streamMetabolizer	calc_DO_at_sat	calc	TRUE
calcDisch	depth	NA	calculate depth from discharge and Raymond et al. 2012 equation	streamMetabolizer	calc_depth	calc	TRUE
calcStage	depth	NA	calculate depth using stage	streamMetabolizer	NA	calc	FALSE
calcManning	depth	NA	"calculate depth using Manning's equation"	streamMetabolizer	NA	calc	FALSE
calcLat	par	NA	calculate PAR using site latitude and suntime	streamMetabolizer	calc_solar_insolation	calc	TRUE
calcNight	K600	NA	calculate K600 using nighttime regressions on select days	streamMetabolizer	NA	calc	TRUE
calcElev	baro	NA	"calculate baro assuming constant pressure, later to be corrected for elevation"	streamMetabolizer	NA	calc	TRUE
